SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score,saps_precinct_mapped,saps_precinct_name,saps_robbery_with_aggravating_circumstances_q1_2026,saps_robbery_with_aggravating_circumstances_trend,saps_burglary_at_residential_premises_q1_2026,saps_burglary_at_residential_premises_trend,saps_theft_of_motor_vehicle_and_motorcycle_q1_2026,saps_theft_of_motor_vehicle_and_motorcycle_trend,saps_carjacking_q1_2026,saps_carjacking_trend,saps_truck_hijacking_q1_2026,saps_truck_hijacking_trend,lat,lon
ATHLONE,11,Theft,11,Theft:11,July,Wednesday,14,681617.45,61965.22,0,0.0571428571428571,0.0620045065139592,0.0596,False,,,,,,,,,,,,-33.9666667,18.505
FONTAINEBLEAU,13,Theft,12,Theft:12; Burglary:1,March,Tuesday,16,482898.33,37146.03,0,0.0761904761904762,0.0428963666967041,0.0595,False,,,,,,,,,,,,-26.1011111,27.9747222
VICTORY PARK,12,Theft,12,Theft:12,May,Thursday,0,578470.58,48205.88,0,0.0666666666666666,0.0520862620406934,0.0594,False,,,,,,,,,,,,-26.1313889,28.0055556
MAROELANA,8,Theft,6,Theft:6; Stolen and recovered:2,September,Sunday,20,970525.39,121315.67,0,0.0285714285714285,0.0897848897595934,0.0592,False,,,,,,,,,,,,-25.7794444,28.2641667
FLORACLIFFE,5,Theft,4,Theft:4; Armed Robbery:1,January,Tuesday,13,1266285.63,253257.13,0,0.0,0.1182241663541403,0.0591,False,,,,,,,,,,,,-26.1563889,27.9208333
GERMISTON,9,Theft,7,Theft:7; Armed Robbery:1; Hijack:1,October,Saturday,21,867463.08,96384.79,0,0.0380952380952381,0.079874776281991,0.059,False,,,,,,,,,,,,-26.229444,28.180556
ST FRANCIS BAY,15,Theft,15,Theft:15,February,Friday,11,263658.49,17577.23,0,0.0952380952380952,0.0218150257757466,0.0585,False,,,,,,,,,,,,-34.171676,24.832916
BRAMLEY,11,Theft,8,Theft:8; Hijack:3,November,Sunday,12,657994.77,59817.71,0,0.0571428571428571,0.0597330317192929,0.0584,False,,,,,,,,,,,,-26.1247222,28.0788889
DAWN PARK,11,Theft,10,Theft:10; Armed Robbery:1,October,Friday,19,656285.03,59662.28,0,0.0571428571428571,0.059568629064072,0.0584,False,,,,,,,,,,,,-26.3016667,28.2436111
RANT-EN-DAL,10,Theft,10,Theft:10,August,Monday,13,754424.5,75442.45,0,0.0476190476190476,0.0690053793594202,0.0583,False,,,,,,,,,,,,-26.0772222,27.7780556
BASSONIA,8,Theft,8,Theft:8,September,Tuesday,22,944673.71,118084.21,0,0.0285714285714285,0.0872990820730913,0.0579,False,,,,,,,,,,,,-26.2755556,28.0611111
BREAUNANDA,9,Theft,9,Theft:9,August,Saturday,12,842736.65,93637.41,0,0.0380952380952381,0.077497168724039,0.0578,False,,,,,,,,,,,,-26.1172222,27.8405556
ANNLIN,9,Theft,8,Theft:8; Burglary:1,March,Thursday,13,835653.12,92850.35,0,0.0380952380952381,0.0768160411020984,0.0575,False,,,,,,,,,,,,-25.655,28.1980556
BAYVIEW,8,Theft,8,Theft:8,July,Friday,11,916715.46,114589.43,0,0.0285714285714285,0.0846107139379779,0.0566,False,,,,,,,,,,,,-29.9233216,30.9140541
KALK BAY,10,Theft,10,Theft:10,August,Saturday,9,716807.59,71680.76,0,0.0476190476190476,0.0653882680529032,0.0565,False,,,,,,,,,,,,-34.1271725,18.4468316
JUKSKEI PARK,12,Theft,12,Theft:12,June,Monday,14,507659.61,42304.97,0,0.0666666666666666,0.045277325309515,0.056,False,,,,,,,,,,,,-26.0353132,27.9852242
DUDUZA,5,Hijack,4,Hijack:4; Theft:1,July,Sunday,20,1199978.61,239995.72,0,0.0,0.1118483137989079,0.0559,False,,,,,,,,,,,,-26.3730556,28.4080556
ZWARTKOP,9,Theft,9,Theft:9,February,Tuesday,17,801122.4,89013.6,0,0.0380952380952381,0.0734956870981632,0.0558,False,,,,,,,,,,,,-25.8672222,28.1763889
SHERWOOD,13,Theft,13,Theft:13,March,Thursday,1,405830.53,31217.73,0,0.0761904761904762,0.0354857949419164,0.0558,False,,,,,,,,,,,,-29.8288889,30.9772222
KAGISO,8,Theft,7,Theft:7; Hijack:1,October,Tuesday,12,897238.06,112154.76,0,0.0285714285714285,0.0827378348588203,0.0557,False,,,,,,,,,,,,-26.1577778,27.7813889
LYTTELTON AH,8,Theft,8,Theft:8,January,Sunday,11,896168.12,112021.02,0,0.0285714285714285,0.0826349531476087,0.0556,False,,,,,,,,,,,,-25.8294444,28.2027778
