STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score,lat,lon
Brandfort,Lejweleputswa District,Free State,18,Burglary at residential premises,17,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0155,-28.7029062,26.4589923
Hluhluwe,Umkhanyakude District,KwaZulu-Natal,18,Burglary at residential premises,11,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0155,-28.020183,32.2692588
Nottingham Road,Umgungundlovu District,KwaZulu-Natal,17,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:1,0.0135,-29.3515397,29.9909591
Utrecht,Amajuba District,KwaZulu-Natal,16,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116,-27.6564798,30.3194402
Macleantown,Buffalo City District,Eastern Cape,15,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097,-32.7867478,27.7447894
Hankey,Sarah Baartman District,Eastern Cape,14,Burglary at residential premises,10,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077,-33.8324022,24.8851875
Steytlerville,Sarah Baartman District,Eastern Cape,14,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077,-33.3274506,24.341773
Kenhardt,ZF Mgcawu District,Northern Cape,13,Burglary at residential premises,13,Stabilized,Robbery with aggravating circumstances:0; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058,-29.3466804,21.1517598
Wepener,Mangaung District,Free State,13,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0058,-29.7312021,27.0370316
Hlobane,Zululand District,KwaZulu-Natal,13,Burglary at residential premises,13,Stabilized,Robbery with aggravating circumstances:0; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058,-27.7369544,31.009289
Bedford,Amathole District,Eastern Cape,13,Burglary at residential premises,13,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058,-32.6835488,26.0825978
Ntabozuko,Buffalo City District,Eastern Cape,12,Burglary at residential premises,12,Stabilized,Robbery with aggravating circumstances:0; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039,-32.8786767,27.5731168
Thornhill,Sarah Baartman District,Eastern Cape,12,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039,-33.9021625,25.1409581
Clarens,Thabo Mofutsanyana District,Free State,11,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0019,-28.515223,28.4198041
Windsorton,Frances Baard District,Northern Cape,10,Burglary at residential premises,6,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0,-28.3267449,24.7108352
Hlabisa,Umkhanyakude District,KwaZulu-Natal,10,Robbery with aggravating circumstances,4,Stabilized,Robbery with aggravating circumstances:4; Burglary at residential premises:4; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0,-28.1406094,31.857409
