STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score
Zonkizizwe,Ekurhuleni District,Gauteng,35,Robbery with aggravating circumstances,14,Decreased,Robbery with aggravating circumstances:14; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:5; Carjacking:5; Truck hijacking:3,0.0484
Pabalello,ZF Mgcawu District,Northern Cape,35,Burglary at residential premises,26,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0484
Delareyville,Ngaka Modiri Molema District,North West,35,Burglary at residential premises,24,Decreased,Robbery with aggravating circumstances:11; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0484
Springbok,Namakwa District,Northern Cape,35,Burglary at residential premises,31,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:31; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0484
Ikamvelihle,Nelson Mandela District,Eastern Cape,35,Robbery with aggravating circumstances,23,Decreased,Robbery with aggravating circumstances:23; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:1,0.0484
Leeudoringstad,Dr Kenneth Kaunda District,North West,35,Burglary at residential premises,28,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0484
Mtubatuba,Umkhanyakude District,KwaZulu-Natal,35,Robbery with aggravating circumstances,19,Decreased,Robbery with aggravating circumstances:19; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0484
Saselamani,Vhembe District,Limpopo,35,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0484
Nqanqarhu,Joe Gqabi District,Eastern Cape,35,Burglary at residential premises,27,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0484
Mandeni,Ilembe District,KwaZulu-Natal,35,Burglary at residential premises,24,Stabilized,Robbery with aggravating circumstances:11; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0484
Kenton On Sea,Sarah Baartman District,Eastern Cape,34,Burglary at residential premises,32,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0464
Moorreesburg,West Coast District,Western Cape,34,Burglary at residential premises,31,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:31; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0464
Msinga,Umzinyathi District,KwaZulu-Natal,34,Burglary at residential premises,18,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:1; Carjacking:3; Truck hijacking:0,0.0464
Gingindlovu,King Cetshwayo District,KwaZulu-Natal,34,Burglary at residential premises,23,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0464
Matlala,Capricorn District,Limpopo,34,Robbery with aggravating circumstances,19,Increased,Robbery with aggravating circumstances:19; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:1; Carjacking:2; Truck hijacking:0,0.0464
Komatipoort,Ehlanzeni District,Mpumalanga,34,Burglary at residential premises,28,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0464
Willowvale,Amathole District,Eastern Cape,34,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0464
Wesselsbron,Lejweleputswa District,Free State,34,Burglary at residential premises,26,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0464
Deneysville,Fezile Dabi District,Free State,34,Burglary at residential premises,27,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0464
Mecklenburg,Sekhukhune District,Limpopo,33,Burglary at residential premises,22,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0445
Bethanie,Bojanala District,North West,33,Burglary at residential premises,25,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0445
Viljoenskroon,Fezile Dabi District,Free State,33,Burglary at residential premises,25,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0445
Tumahole,Fezile Dabi District,Free State,33,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0445
Douglas,Pixley ka Seme District,Northern Cape,33,Burglary at residential premises,30,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:30; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0445
Theunissen,Lejweleputswa District,Free State,33,Burglary at residential premises,23,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0445
Ixopo,Harry Gwala District,KwaZulu-Natal,33,Burglary at residential premises,21,Increased,Robbery with aggravating circumstances:12; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0445
Mqanduli,OR Tambo District,Eastern Cape,33,Burglary at residential premises,19,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:2; Truck hijacking:0,0.0445
Nqweba,Sarah Baartman District,Eastern Cape,33,Burglary at residential premises,29,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0445
Sundra,Nkangala District,Mpumalanga,33,Burglary at residential premises,18,Decreased,Robbery with aggravating circumstances:11; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:1,0.0445
Bultfontein,Lejweleputswa District,Free State,33,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0445
Paddock,Ugu District,KwaZulu-Natal,33,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0445
Makwane,Thabo Mofutsanyana District,Free State,33,Burglary at residential premises,26,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0445
Tulbagh,Cape Winelands District,Western Cape,32,Burglary at residential premises,29,Stabilized,Robbery with aggravating circumstances:3; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0426
Makwassie,Dr Kenneth Kaunda District,North West,32,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:12; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0426
Volksrust,Gert Sibande District,Mpumalanga,32,Burglary at residential premises,28,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0426
Evander,Gert Sibande District,Mpumalanga,32,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:1; Carjacking:4; Truck hijacking:0,0.0426
Christiana,Dr Ruth Segomotsi Mompati District,North West,32,Burglary at residential premises,26,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0426
Highflats,Harry Gwala District,KwaZulu-Natal,31,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:14; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0406
Jane Furse,Sekhukhune District,Limpopo,31,Robbery with aggravating circumstances,16,Decreased,Robbery with aggravating circumstances:16; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0406
Hendrina,Nkangala District,Mpumalanga,31,Burglary at residential premises,16,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:3,0.0406
Nquthu,Umzinyathi District,KwaZulu-Natal,31,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0406
Hlanganani,Mopani District,Limpopo,31,Robbery with aggravating circumstances,15,Decreased,Robbery with aggravating circumstances:15; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0406
Hartbeesfontein,Dr Kenneth Kaunda District,North West,31,Burglary at residential premises,21,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0406
Matlelerekeng,Sekhukhune District,Limpopo,31,Burglary at residential premises,21,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0406
Mpophomeni,Umgungundlovu District,KwaZulu-Natal,31,Burglary at residential premises,18,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0406
Reigerpark,Ekurhuleni District,Gauteng,30,Robbery with aggravating circumstances,10,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:8; Carjacking:3; Truck hijacking:0,0.0387
Barkly West,Frances Baard District,Northern Cape,30,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0387
Bethal,Gert Sibande District,Mpumalanga,30,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0387
Ndevana,Buffalo City District,Eastern Cape,29,Burglary at residential premises,24,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0368
Batlharos,John Taolo Gaetsewe District,Northern Cape,29,Burglary at residential premises,24,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0368
Lethabong,Bojanala District,North West,29,Burglary at residential premises,23,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0368
