SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score
ATHLONE,11,Theft,11,Theft:11,July,Wednesday,14,681617.45,61965.22,0,0.05714285714285714,0.06200450651395927,0.0596
FONTAINEBLEAU,13,Theft,12,Theft:12; Burglary:1,March,Tuesday,16,482898.33,37146.03,0,0.0761904761904762,0.04289636669670411,0.0595
VICTORY PARK,12,Theft,12,Theft:12,May,Thursday,0,578470.58,48205.88,0,0.06666666666666667,0.05208626204069347,0.0594
MAROELANA,8,Theft,6,Theft:6; Stolen and recovered:2,September,Sunday,20,970525.39,121315.67,0,0.02857142857142857,0.08978488975959346,0.0592
FLORACLIFFE,5,Theft,4,Theft:4; Armed Robbery:1,January,Tuesday,13,1266285.63,253257.13,0,0.0,0.1182241663541403,0.0591
GERMISTON,9,Theft,7,Theft:7; Armed Robbery:1; Hijack:1,October,Saturday,21,867463.08,96384.79,0,0.0380952380952381,0.07987477628199102,0.059
ST FRANCIS BAY,15,Theft,15,Theft:15,February,Friday,11,263658.49,17577.23,0,0.09523809523809523,0.02181502577574665,0.0585
BRAMLEY,11,Theft,8,Theft:8; Hijack:3,November,Sunday,12,657994.77,59817.71,0,0.05714285714285714,0.05973303171929293,0.0584
DAWN PARK,11,Theft,10,Theft:10; Armed Robbery:1,October,Friday,19,656285.03,59662.28,0,0.05714285714285714,0.059568629064072065,0.0584
RANT-EN-DAL,10,Theft,10,Theft:10,August,Monday,13,754424.5,75442.45,0,0.047619047619047616,0.0690053793594202,0.0583
LIEFDE EN VREDE,9,Theft,8,Theft:8; Hijack:1,December,Wednesday,19,852433.42,94714.82,0,0.0380952380952381,0.07842957642056951,0.0583
KEMPTON PARK OTHER,10,Theft,7,Theft:7; Armed Robbery:2; Hijack:1,December,Tuesday,10,750274.3,93784.29,2,0.047619047619047616,0.0686063105538137,0.0581
