SUBURB,month,predicted_incidents,actual_incidents,absolute_error
OBSERVATORY,2026-04,1.55,2,0.45
OBSERVATORY,2026-05,1.53,1,0.53
OLYMPUS AH,2025-11,0.9,1,0.1
ORANGE GROVE,2025-03,0.86,1,0.14
ORANGE GROVE,2025-04,0.8,1,0.2
ORANGE GROVE,2025-05,0.74,1,0.26
ORANGE GROVE,2025-09,0.68,1,0.32
ORANJEZICHT,2025-09,1.51,1,0.51
ORANJEZICHT,2025-10,1.5,1,0.5
ORANJEZICHT,2026-01,1.49,1,0.49
ORANJEZICHT,2026-02,1.47,1,0.47
PAARL,2025-11,1.61,1,0.61
PAARL,2026-02,1.61,2,0.39
PAARL,2026-03,1.61,1,0.61
PAARL,2026-04,1.61,1,0.61
PAARL,2026-05,1.62,4,2.38
PANORAMA,2026-04,1.26,2,0.74
PARKHURST,2025-11,2.14,1,1.14
PARKHURST,2025-12,2.22,1,1.22
PARKHURST,2026-01,2.3,1,1.3
PARKHURST,2026-02,2.38,1,1.38
PARKHURST,2026-04,2.46,1,1.46
PARKHURST,2026-05,2.54,1,1.54
PARKLANDS,2026-01,1.38,1,0.38
PARKLANDS,2026-02,1.37,4,2.63
PARKLANDS,2026-03,1.35,1,0.35
PARKLANDS,2026-04,1.34,2,0.66
PARKLANDS,2026-06,1.32,1,0.32
PARKMORE,2026-05,1.18,1,0.18
PARKTOWN,2026-02,0.92,1,0.08
PARKTOWN,2026-05,0.9,1,0.1
PARKTOWN NORTH,2025-07,0.86,1,0.14
PARKTOWN NORTH,2025-12,0.83,1,0.17
PARKVIEW,2025-09,0.64,1,0.36
PARKVIEW,2026-03,0.56,1,0.44
PAROW,2025-05,0.87,1,0.13
PAROW,2025-09,0.82,1,0.18
PAROW,2025-11,0.78,1,0.22
PAULSHOF,2025-11,1.18,1,0.18
PAULSHOF,2026-05,1.15,1,0.15
PHILIPPI,2026-05,1.24,1,0.24
PIETERMARITZBURG,2025-06,0.85,1,0.15
PIETERMARITZBURG,2025-12,0.8,1,0.2
PINELANDS,2025-10,1.84,1,0.84
PINELANDS,2025-12,1.85,2,0.15
PINELANDS,2026-02,1.85,1,0.85
PINELANDS,2026-03,1.86,1,0.86
PLETTENBERG BAY,2025-11,1.59,1,0.59
PLETTENBERG BAY,2025-12,1.62,1,0.62
PLETTENBERG BAY,2026-01,1.64,1,0.64
PLETTENBERG BAY,2026-05,1.67,1,0.67
PLUMSTEAD,2025-08,1.67,1,0.67
PLUMSTEAD,2025-09,1.7,1,0.7
PLUMSTEAD,2025-12,1.73,2,0.27
PLUMSTEAD,2026-01,1.76,1,0.76
POLOKWANE CENTRAL,2025-12,1.35,1,0.35
POLOKWANE CENTRAL,2026-03,1.34,1,0.34
POLOKWANE CENTRAL,2026-04,1.33,1,0.33
POLOKWANE SCHOOLS,2025-05,1.2,1,0.2
POLOKWANE SCHOOLS,2025-06,1.22,1,0.22
POLOKWANE SCHOOLS,2025-08,1.24,1,0.24
POMONA,2025-02,1.0,1,0.0
POMONA,2025-04,1.0,1,0.0
POMONA,2025-05,1.0,1,0.0
PORT ELIZABETH CENTRAL,2025-10,1.21,1,0.21
PORT ELIZABETH CENTRAL,2025-12,1.22,1,0.22
POTCHEFSTROOM,2026-03,1.37,1,0.37
PRETORIA,2025-11,2.0,1,1.0
PRETORIA,2026-01,2.18,1,1.18
PRETORIA,2026-02,2.36,3,0.64
PRETORIA,2026-03,2.54,2,0.54
PRETORIA,2026-04,2.71,3,0.29
PRETORIA,2026-05,2.89,2,0.89
PRETORIA CENTRAL,2026-02,0.87,1,0.13
PRETORIA CENTRAL,2026-06,0.81,1,0.19
PRETORIA NORTH,2026-02,1.53,1,0.53
PRETORIA NORTH,2026-05,1.54,3,1.46
PRETORIA NORTH,2026-06,1.55,1,0.55
PRETORIA WEST,2025-10,0.82,1,0.18
PRETORIA WEST,2026-02,0.76,1,0.24
PRIMROSE,2026-03,1.15,1,0.15
PROTEA PARK,2025-12,1.0,1,0.0
PROTEA PARK,2026-03,0.96,1,0.04
PROTEA PARK,2026-06,0.93,1,0.07
QUEENSWOOD,2025-05,1.53,1,0.53
QUEENSWOOD,2025-11,1.52,1,0.52
RADIOKOP,2025-12,1.13,1,0.13
RADIOKOP,2026-06,1.12,1,0.12
RANDPARK,2025-12,1.35,1,0.35
RANDPARKRIF,2025-11,2.01,1,1.01
RANDPARKRIF,2026-05,2.03,1,1.03
RESERVOIR HILLS,2025-09,0.69,1,0.31
RESERVOIR HILLS,2025-11,0.6,2,1.4
RESERVOIR HILLS,2025-12,0.52,1,0.48
RESERVOIR HILLS,2026-02,0.43,2,1.57
RONDEBOSCH,2025-12,1.4,1,0.4
RONDEBOSCH,2026-01,1.36,1,0.36
RONDEBOSCH,2026-02,1.32,1,0.32
RONDEBOSCH,2026-05,1.28,4,2.72
ROODEKRANS,2024-10,1.6,1,0.6
ROODEKRANS,2024-12,1.65,3,1.35
ROODEKRANS,2025-01,1.71,1,0.71
ROODEPLAAT,2024-10,1.0,1,0.0
ROODEPLAAT,2025-04,1.0,1,0.0
ROODEPOORT,2026-05,1.63,1,0.63
ROODEPOORT,2026-06,1.64,1,0.64
ROOIHUISKRAAL,2025-12,1.83,1,0.83
ROOIHUISKRAAL,2026-02,1.85,1,0.85
ROOIHUISKRAAL,2026-05,1.88,1,0.88
ROSEBANK,2025-07,1.44,1,0.44
ROSEBANK,2025-08,1.45,1,0.45
ROSEBANK,2025-09,1.46,1,0.46
ROSEBANK,2025-10,1.47,1,0.47
ROSEBANK,2025-12,1.47,2,0.53
RUSTENBURG,2025-08,2.07,2,0.07
RUSTENBURG,2025-11,2.06,3,0.94
RUSTENBURG,2025-12,2.04,2,0.04
RUSTENBURG,2026-02,2.03,1,1.03
RYNFIELD,2025-12,1.56,1,0.56
RYNFIELD,2026-01,1.57,1,0.57
RYNFIELD,2026-05,1.57,1,0.57
SANDOWN,2026-01,2.21,2,0.21
SASOLBURG,2025-11,0.89,2,1.11
SASOLBURG,2026-03,0.85,1,0.15
SCHOEMANSVILLE,2026-01,1.4,1,0.4
SCHOEMANSVILLE,2026-05,1.4,1,0.4
SCHOEMANSVILLE,2026-06,1.4,1,0.4
SEA POINT,2026-01,1.54,3,1.46
SEA POINT,2026-02,1.53,1,0.53
SEA POINT,2026-03,1.51,1,0.51
SEA POINT,2026-05,1.5,1,0.5
SECUNDA,2026-01,1.1,1,0.1
SECUNDA,2026-02,1.1,1,0.1
SECUNDA,2026-03,1.09,1,0.09
SECUNDA,2026-05,1.08,2,0.92
SHERWOOD,2026-03,1.2,1,0.2
SILVERTON,2025-08,0.96,1,0.04
SILVERTON,2025-10,0.94,1,0.06
